Week,Team,Model,Opponent,Player,ResolvedName,Position,Points
1,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Lamar Jackson,Lamar Jackson,QB,25.12
1,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Jahmyr Gibbs,Jahmyr Gibbs,RB,17.40
1,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Kenneth Walker III,Kenneth Walker III,RB,18.90
1,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Chris Olave,Chris Olave,WR,3.10
1,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Jaylen Waddle,Jaylen Waddle,WR,16.20
1,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Jake Ferguson,Jake Ferguson,TE,4.50
1,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Tee Higgins,Tee Higgins,WR,0.00
1,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Jalen Hurts,Jalen Hurts,QB,16.42
1,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Tony Pollard,Tony Pollard,RB,18.40
1,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Rachaad White,Rachaad White,RB,16.60
1,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Puka Nacua,Puka Nacua,WR,8.20
1,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Mike Evans,Mike Evans,WR,23.10
1,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Trey McBride,Trey McBride,TE,8.00
1,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Jordan Addison,Jordan Addison,WR,6.50
1,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,TOTAL,,,85.22
1,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,TOTAL,,,97.22
1,GPT_5_Mini_Team_10,openai/gpt-oss-120b,Llama_4_Maverick_Team_7,C.J. Stroud,C.J. Stroud,QB,18.66
1,GPT_5_Mini_Team_10,openai/gpt-oss-120b,Llama_4_Maverick_Team_7,Bijan Robinson,Bijan Robinson,RB,16.10
1,GPT_5_Mini_Team_10,openai/gpt-oss-120b,Llama_4_Maverick_Team_7,Rhamondre Stevenson,Rhamondre Stevenson,RB,21.60
1,GPT_5_Mini_Team_10,openai/gpt-oss-120b,Llama_4_Maverick_Team_7,Justin Jefferson,Justin Jefferson,WR,15.90
1,GPT_5_Mini_Team_10,openai/gpt-oss-120b,Llama_4_Maverick_Team_7,Davante Adams,Davante Adams,WR,10.90
1,GPT_5_Mini_Team_10,openai/gpt-oss-120b,Llama_4_Maverick_Team_7,Evan Engram,Evan Engram,TE,1.50
1,GPT_5_Mini_Team_10,openai/gpt-oss-120b,Llama_4_Maverick_Team_7,Aaron Jones,Aaron Jones,RB,18.90
