Week,Team,Model,Opponent,Player,ResolvedName,Position,Points
8,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Lamar Jackson,Lamar Jackson,QB,24.16
8,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Jahmyr Gibbs,Jahmyr Gibbs,RB,20.30
8,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Kenneth Walker III,Kenneth Walker III,RB,8.50
8,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Tee Higgins,Tee Higgins,WR,0.00
8,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Marvin Harrison Jr.,Marvin Harrison Jr.,WR,23.10
8,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Jake Ferguson,Jake Ferguson,TE,8.30
8,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,Jaylen Waddle,Jaylen Waddle,WR,8.50
8,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Jordan Love,Jordan Love,QB,5.74
8,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Rachaad White,Rachaad White,RB,15.70
8,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Chuba Hubbard,Chuba Hubbard,RB,9.10
8,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Mike Evans,Mike Evans,WR,0.00
8,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Zay Flowers,Zay Flowers,WR,18.50
8,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Trey McBride,Trey McBride,TE,21.40
8,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,Courtland Sutton,Courtland Sutton,WR,17.12
8,Kimi_K2_Team_4,qwen/qwen3-max,GPT_5_Team_9,TOTAL,,,92.86
8,GPT_5_Team_9,anthropic/claude-sonnet-4,Kimi_K2_Team_4,TOTAL,,,87.56
