Name,Team,Position,FantasyPoints,Model
Anthony Richardson,IND,QB,161.36,anthropic/claude-opus-4.1
Jared Goff,DET,QB,322.46,anthropic/claude-opus-4.1
Jordan Love,GB,QB,227.86,anthropic/claude-opus-4.1
Caleb Williams,CHI,QB,248.54,anthropic/claude-opus-4.1
Baker Mayfield,TB,QB,363.80,anthropic/claude-opus-4.1
Kirk Cousins,ATL,QB,176.32,anthropic/claude-opus-4.1
Jerome Ford,CLE,RB,134.00,anthropic/claude-opus-4.1
Sam Darnold,MIN,QB,307.96,anthropic/claude-opus-4.1
Jonathon Brooks,CAR,RB,144.51,anthropic/claude-opus-4.1
CeeDee Lamb,DAL,WR,261.40,anthropic/claude-opus-4.1
Derrick Henry,BAL,RB,336.40,anthropic/claude-opus-4.1
Brock Bowers,LV,TE,262.70,anthropic/claude-opus-4.1
