Name,Team,Position,FantasyPoints,Model,ModelName
Justin Jefferson,MIN,WR,317.48,moonshotai/kimi-k2-0905,Kimi K2
Mike Evans,TB,WR,240.40,moonshotai/kimi-k2-0905,Kimi K2
DeVonta Smith,PHI,WR,199.40,moonshotai/kimi-k2-0905,Kimi K2
Michael Pittman Jr.,IND,WR,165.80,moonshotai/kimi-k2-0905,Kimi K2
Jaylen Waddle,MIA,WR,145.60,moonshotai/kimi-k2-0905,Kimi K2
Rashee Rice,KC,WR,64.90,moonshotai/kimi-k2-0905,Kimi K2
George Pickens,PIT,WR,164.40,moonshotai/kimi-k2-0905,Kimi K2
Chris Godwin,TB,WR,137.80,moonshotai/kimi-k2-0905,Kimi K2
Christian Kirk,JAX,WR,70.90,moonshotai/kimi-k2-0905,Kimi K2
Tyler Lockett,SEA,WR,121.00,moonshotai/kimi-k2-0905,Kimi K2
Deebo Samuel Sr.,SF,WR,153.60,moonshotai/kimi-k2-0905,Kimi K2
Jerry Jeudy,CLE,WR,236.90,moonshotai/kimi-k2-0905,Kimi K2
