Name,Team,Position,FantasyPoints,Model
Kyren Williams,LAR,RB,272.10,openai/gpt-5
Jahmyr Gibbs,DET,RB,362.90,openai/gpt-5
George Kittle,SF,TE,236.60,openai/gpt-5
Tee Higgins,CIN,WR,222.10,openai/gpt-5
Alvin Kamara,NO,RB,265.30,openai/gpt-5
Terry McLaurin,WAS,WR,267.80,openai/gpt-5
Najee Harris,PIT,RB,204.60,openai/gpt-5
Jayden Reed,GB,WR,197.00,openai/gpt-5
Xavier Worthy,KC,WR,187.20,openai/gpt-5
Marvin Harrison Jr.,ARI,WR,196.50,openai/gpt-5
Patrick Mahomes,KC,QB,283.02,openai/gpt-5
Garrett Wilson,NYJ,WR,249.90,openai/gpt-5
