Name,Team,Position,FantasyPoints,Model
Chris Olave,NO,WR,76.70,openai/gpt-5-mini
Cooper Kupp,LAR,WR,175.00,openai/gpt-5-mini
Travis Etienne Jr.,JAX,RB,130.20,openai/gpt-5-mini
Trevor Lawrence,JAX,QB,139.20,openai/gpt-5-mini
Mark Andrews,BAL,TE,188.80,openai/gpt-5-mini
Calvin Ridley,TEN,WR,199.20,openai/gpt-5-mini
Keenan Allen,CHI,WR,184.40,openai/gpt-5-mini
Jaxon Smith-Njigba,SEA,WR,253.00,openai/gpt-5-mini
Jordan Addison,MIN,WR,212.50,openai/gpt-5-mini
Rome Odunze,CHI,WR,144.90,openai/gpt-5-mini
Josh Allen,BUF,QB,377.04,openai/gpt-5-mini
Jakobi Meyers,LV,WR,216.00,openai/gpt-5-mini
