Name,Team,Position,FantasyPoints,Model
Nico Collins,HOU,WR,210.60,google/gemini-2.5-pro
Travis Kelce,KC,TE,195.40,google/gemini-2.5-pro
Isiah Pacheco,KC,RB,56.90,google/gemini-2.5-pro
Joe Mixon,HOU,RB,240.50,google/gemini-2.5-pro
David Montgomery,DET,RB,221.72,google/gemini-2.5-pro
Tank Dell,HOU,WR,140.00,google/gemini-2.5-pro
DeAndre Hopkins,KC,WR,147.00,google/gemini-2.5-pro
Courtland Sutton,DEN,WR,240.30,google/gemini-2.5-pro
Christian Watson,GB,WR,103.30,google/gemini-2.5-pro
Zamir White,LV,RB,29.30,google/gemini-2.5-pro
Jalen Hurts,PHI,QB,315.12,google/gemini-2.5-pro
Ja'Marr Chase,CIN,WR,403.00,google/gemini-2.5-pro
