Name,Team,Position,FantasyPoints,Model,ModelName
Puka Nacua,LAR,WR,206.60,openai/gpt-5-mini,GPT 5 Mini
Bijan Robinson,ATL,RB,339.70,openai/gpt-5-mini,GPT 5 Mini
DK Metcalf,SEA,WR,191.20,openai/gpt-5-mini,GPT 5 Mini
Brandon Aiyuk,SF,WR,62.40,openai/gpt-5-mini,GPT 5 Mini
Kenneth Walker III,SEA,RB,181.20,openai/gpt-5-mini,GPT 5 Mini
Joe Burrow,CIN,QB,372.82,openai/gpt-5-mini,GPT 5 Mini
Rhamondre Stevenson,NE,RB,171.90,openai/gpt-5-mini,GPT 5 Mini
Tony Pollard,TEN,RB,198.70,openai/gpt-5-mini,GPT 5 Mini
Jaylen Warren,PIT,RB,124.10,openai/gpt-5-mini,GPT 5 Mini
Devin Singletary,NYG,RB,96.60,openai/gpt-5-mini,GPT 5 Mini
Dalton Kincaid,BUF,TE,100.80,openai/gpt-5-mini,GPT 5 Mini
Tyjae Spears,TEN,RB,113.60,openai/gpt-5-mini,GPT 5 Mini
