Name,Team,Position,FantasyPoints,Model,ModelName
A.J. Brown,PHI,WR,216.90,google/gemini-2.5-pro,Gemini 2.5 Pro
Breece Hall,NYJ,RB,236.90,google/gemini-2.5-pro,Gemini 2.5 Pro
Jonathan Taylor,IND,RB,246.70,google/gemini-2.5-pro,Gemini 2.5 Pro
Brock Purdy,SF,QB,266.86,google/gemini-2.5-pro,Gemini 2.5 Pro
DJ Moore,CHI,WR,236.10,google/gemini-2.5-pro,Gemini 2.5 Pro
David Njoku,CLE,TE,144.50,google/gemini-2.5-pro,Gemini 2.5 Pro
James Conner,ARI,RB,249.80,google/gemini-2.5-pro,Gemini 2.5 Pro
Zay Flowers,BAL,WR,209.50,google/gemini-2.5-pro,Gemini 2.5 Pro
Aaron Jones,MIN,RB,241.60,google/gemini-2.5-pro,Gemini 2.5 Pro
Deshaun Watson,CLE,QB,74.72,google/gemini-2.5-pro,Gemini 2.5 Pro
Jake Ferguson,DAL,TE,104.40,google/gemini-2.5-pro,Gemini 2.5 Pro
Chuba Hubbard,CAR,RB,239.60,google/gemini-2.5-pro,Gemini 2.5 Pro
