Name,Team,Position,FantasyPoints,Model
Jaylen Waddle,MIA,WR,145.60,openai/gpt-5-mini
D'Andre Swift,CHI,RB,212.50,openai/gpt-5-mini
Marvin Harrison Jr.,ARI,WR,196.50,openai/gpt-5-mini
Tyler Lockett,SEA,WR,121.00,openai/gpt-5-mini
Brock Bowers,LV,TE,262.70,openai/gpt-5-mini
Jerry Jeudy,CLE,WR,236.90,openai/gpt-5-mini
Justin Jefferson,MIN,WR,317.48,openai/gpt-5-mini
Breece Hall,NYJ,RB,236.90,openai/gpt-5-mini
Jonathan Taylor,IND,RB,246.70,openai/gpt-5-mini
David Montgomery,DET,RB,221.72,openai/gpt-5-mini
DK Metcalf,SEA,WR,191.20,openai/gpt-5-mini
Kyler Murray,ARI,QB,295.24,openai/gpt-5-mini
