Name,Team,Position,FantasyPoints,Model
Tyreek Hill,MIA,WR,218.20,moonshotai/kimi-k2-0905
Cooper Kupp,LAR,WR,175.00,moonshotai/kimi-k2-0905
Michael Pittman Jr.,IND,WR,165.80,moonshotai/kimi-k2-0905
Kyle Pitts,ATL,TE,131.20,moonshotai/kimi-k2-0905
Dalton Schultz,HOU,TE,118.20,moonshotai/kimi-k2-0905
Dallas Goedert,PHI,TE,103.60,moonshotai/kimi-k2-0905
Austin Ekeler,WAS,RB,132.30,moonshotai/kimi-k2-0905
Jaxon Smith-Njigba,SEA,WR,253.00,moonshotai/kimi-k2-0905
Tyler Conklin,NYJ,TE,119.90,moonshotai/kimi-k2-0905
Cole Kmet,CHI,TE,118.40,moonshotai/kimi-k2-0905
Brock Purdy,SF,QB,266.86,moonshotai/kimi-k2-0905
David Njoku,CLE,TE,144.50,moonshotai/kimi-k2-0905
