Name,Team,Position,FantasyPoints,Model
George Pickens,PIT,WR,164.40,openai/gpt-5
Joe Burrow,CIN,QB,372.82,openai/gpt-5
Travis Kelce,KC,TE,195.40,openai/gpt-5
Anthony Richardson,IND,QB,161.36,openai/gpt-5
Kyren Williams,LAR,RB,272.10,openai/gpt-5
Brandon Aiyuk,SF,WR,62.40,openai/gpt-5
DeVonta Smith,PHI,WR,199.40,openai/gpt-5
Drake London,ATL,WR,280.80,openai/gpt-5
Najee Harris,PIT,RB,204.60,openai/gpt-5
Puka Nacua,LAR,WR,206.60,openai/gpt-5
Hunter Henry,NE,TE,145.40,openai/gpt-5
CeeDee Lamb,DAL,WR,261.40,openai/gpt-5
