Name,Team,Position,FantasyPoints,Model
Patrick Mahomes,KC,QB,283.02,qwen/qwen3-max
Travis Etienne Jr.,JAX,RB,130.20,qwen/qwen3-max
Chris Olave,NO,WR,76.70,qwen/qwen3-max
DJ Moore,CHI,WR,236.10,qwen/qwen3-max
Jake Ferguson,DAL,TE,104.40,qwen/qwen3-max
Tee Higgins,CIN,WR,222.10,qwen/qwen3-max
Raheem Mostert,MIA,RB,70.90,qwen/qwen3-max
Calvin Ridley,TEN,WR,199.20,qwen/qwen3-max
Jordan Addison,MIN,WR,212.50,qwen/qwen3-max
Christian Watson,GB,WR,103.30,qwen/qwen3-max
Mike Boone,CAR,RB,5.90,qwen/qwen3-max
Jalen Hurts,PHI,QB,315.12,qwen/qwen3-max
