Name,Team,Position,FantasyPoints,Model
Christian Kirk,JAX,WR,70.90,google/gemini-2.5-pro
Diontae Johnson,HOU,WR,89.10,google/gemini-2.5-pro
Deebo Samuel Sr.,SF,WR,153.60,google/gemini-2.5-pro
Gus Edwards,LAC,RB,64.10,google/gemini-2.5-pro
Josh Allen,BUF,QB,377.04,google/gemini-2.5-pro
Davante Adams,NYJ,WR,239.30,google/gemini-2.5-pro
Amon-Ra St. Brown,DET,WR,316.18,google/gemini-2.5-pro
Lamar Jackson,BAL,QB,428.38,google/gemini-2.5-pro
Sam LaPorta,DET,TE,174.60,google/gemini-2.5-pro
Alvin Kamara,NO,RB,265.30,google/gemini-2.5-pro
Mike Evans,TB,WR,240.40,google/gemini-2.5-pro
Derrick Henry,BAL,RB,336.40,google/gemini-2.5-pro
