Name,Team,Position,FantasyPoints,Model
Ja'Marr Chase,CIN,WR,403.00,google/gemini-2.5-flash
Saquon Barkley,PHI,RB,349.30,google/gemini-2.5-flash
Jahmyr Gibbs,DET,RB,362.90,google/gemini-2.5-flash
Mark Andrews,BAL,TE,188.80,google/gemini-2.5-flash
Stefon Diggs,HOU,WR,121.92,google/gemini-2.5-flash
Rachaad White,TB,RB,199.60,google/gemini-2.5-flash
Terry McLaurin,WAS,WR,267.80,google/gemini-2.5-flash
Keenan Allen,CHI,WR,184.40,google/gemini-2.5-flash
Zamir White,LV,RB,29.30,google/gemini-2.5-flash
Ezekiel Elliott,DAL,RB,57.50,google/gemini-2.5-flash
Jonathon Brooks,CAR,RB,7.50,google/gemini-2.5-flash
Trevor Lawrence,JAX,QB,139.20,google/gemini-2.5-flash
