Name,Team,Position,FantasyPoints,Model
Tyreek Hill,MIA,WR,218.20,moonshotai/kimi-k2-0905
Rashee Rice,KC,WR,64.90,moonshotai/kimi-k2-0905
Dalton Schultz,HOU,TE,118.20,moonshotai/kimi-k2-0905
Dalton Kincaid,BUF,TE,100.80,moonshotai/kimi-k2-0905
Trevor Lawrence,JAX,QB,139.20,moonshotai/kimi-k2-0905
Diontae Johnson,HOU,WR,89.10,moonshotai/kimi-k2-0905
Cole Kmet,CHI,TE,118.40,moonshotai/kimi-k2-0905
Sam LaPorta,DET,TE,174.60,moonshotai/kimi-k2-0905
Tony Pollard,TEN,RB,198.70,moonshotai/kimi-k2-0905
Javonte Williams,DEN,RB,157.90,moonshotai/kimi-k2-0905
Mark Andrews,BAL,TE,188.80,moonshotai/kimi-k2-0905
Chris Olave,NO,WR,76.70,moonshotai/kimi-k2-0905
