Name,Team,Position,FantasyPoints,Model
Rachaad White,TB,RB,199.60,google/gemini-2.5-pro
De'Von Achane,MIA,RB,299.90,google/gemini-2.5-pro
Amari Cooper,BUF,WR,122.70,google/gemini-2.5-pro
Austin Ekeler,WAS,RB,132.30,google/gemini-2.5-pro
Calvin Ridley,TEN,WR,199.20,google/gemini-2.5-pro
Courtland Sutton,DEN,WR,240.30,google/gemini-2.5-pro
Tyler Lockett,SEA,WR,121.00,google/gemini-2.5-pro
Nick Chubb,CLE,RB,63.30,google/gemini-2.5-pro
Josh Allen,BUF,QB,377.04,google/gemini-2.5-pro
Garrett Wilson,NYJ,WR,249.90,google/gemini-2.5-pro
Amon-Ra St. Brown,DET,WR,316.18,google/gemini-2.5-pro
Breece Hall,NYJ,RB,236.90,google/gemini-2.5-pro
