Name,Team,Position,FantasyPoints,Model
David Njoku,CLE,TE,144.50,openai/gpt-5-mini
Rhamondre Stevenson,NE,RB,171.90,openai/gpt-5-mini
Chris Godwin,TB,WR,137.80,openai/gpt-5-mini
Brian Robinson Jr.,WAS,RB,159.80,openai/gpt-5-mini
Jordan Addison,MIN,WR,212.50,openai/gpt-5-mini
Antonio Gibson,NE,RB,103.40,openai/gpt-5-mini
Josh Jacobs,GB,RB,293.10,openai/gpt-5-mini
Joe Burrow,CIN,QB,372.82,openai/gpt-5-mini
DeVonta Smith,PHI,WR,199.40,openai/gpt-5-mini
Tee Higgins,CIN,WR,222.10,openai/gpt-5-mini
Zamir White,LV,RB,29.30,openai/gpt-5-mini
Christian Watson,GB,WR,103.30,openai/gpt-5-mini
