Name,Team,Position,FantasyPoints,Model,ModelName
Ja'Marr Chase,CIN,WR,403.00,google/gemini-2.5-pro,Gemini 2.5 Pro
Saquon Barkley,PHI,RB,349.30,google/gemini-2.5-pro,Gemini 2.5 Pro
Travis Etienne Jr.,JAX,RB,130.20,google/gemini-2.5-pro,Gemini 2.5 Pro
Dak Prescott,DAL,QB,116.52,google/gemini-2.5-pro,Gemini 2.5 Pro
Jaylen Waddle,MIA,WR,145.60,google/gemini-2.5-pro,Gemini 2.5 Pro
Jake Ferguson,DAL,TE,104.40,google/gemini-2.5-pro,Gemini 2.5 Pro
David Montgomery,DET,RB,221.72,google/gemini-2.5-pro,Gemini 2.5 Pro
Tank Dell,HOU,WR,140.00,google/gemini-2.5-pro,Gemini 2.5 Pro
Zay Flowers,BAL,WR,209.50,google/gemini-2.5-pro,Gemini 2.5 Pro
Anthony Richardson,IND,QB,161.36,google/gemini-2.5-pro,Gemini 2.5 Pro
Caleb Williams,CHI,QB,248.54,google/gemini-2.5-pro,Gemini 2.5 Pro
Jaleel McLaughlin,DEN,RB,97.20,google/gemini-2.5-pro,Gemini 2.5 Pro
