SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID,AverageDraftPositionDynasty,AverageDraftPosition2QB
1,2022,ARI,449.0,5.0,36.0,266.0,12.0,9.0,2.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,17,104.0,86.0,5.0,0,101.0,437.0,,,0.0,103.0,103.0,1,,,1,,
1,2022,ATL,386.0,4.0,21.0,148.0,7.0,7.0,1.0,10.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,17,69.0,57.0,2.0,2,83.0,386.0,,,0.0,89.0,89.0,2,,,2,,
1,2022,BAL,315.0,1.0,48.0,305.0,14.0,11.0,0.0,14.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,17,95.0,77.0,0.0,1,130.0,309.0,,,0.0,134.0,134.0,36,,,3,,
1,2022,BUF,293.0,3.0,40.0,288.0,11.0,10.0,0.0,17.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,17,99.0,92.0,1.0,2,150.0,285.0,,,0.0,152.0,152.0,37,,,4,,
1,2022,CAR,374.0,3.0,35.0,230.0,9.0,8.0,1.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,17,90.0,88.0,3.0,0,104.0,362.0,,,0.0,112.0,112.0,5,,,5,,
1,2022,CHI,463.0,0.0,20.0,124.0,14.0,9.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17,43.0,67.0,0.0,0,57.0,451.0,,,0.0,59.0,59.0,38,,,6,,
1,2022,CIN,325.0,1.0,30.0,163.0,14.0,12.0,1.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17,94.0,54.0,1.0,0,110.0,313.0,,,0.0,114.0,114.0,7,,,7,,
1,2022,CLE,381.0,4.0,34.0,211.0,11.0,10.0,2.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,17,66.0,68.0,3.0,1,110.0,379.0,,,0.0,112.0,112.0,8,,,8,,
1,2022,DAL,342.0,3.0,54.0,352.0,22.0,18.0,3.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17,110.0,93.0,3.0,0,168.0,324.0,,,0.0,172.0,172.0,48,,,9,,
1,2022,DEN,359.0,0.0,36.0,245.0,16.0,8.0,0.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17,81.0,64.0,0.0,0,100.0,341.0,,,0.0,102.0,102.0,49,,,10,,
1,2022,DET,427.0,2.0,39.0,267.0,14.0,10.0,0.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,17,100.0,76.0,1.0,1,97.0,407.0,,,0.0,97.0,97.0,11,,,11,,
