PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,PositionCategory,PhotoUrl,ByeWeek,AverageDraftPosition,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,FanDuelPlayerID,DraftKingsPlayerID,InjuryStatus,FanDuelName,DraftKingsName,TeamID
23316,JAX,44,Travon,Walker,DE,Active,"6'5""",272,2000-12-18T00:00:00,Georgia,4,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/23316.png,8,,JAX,2022,1,1,False,,1172060,,,Travon Walker,15
23257,DET,97,Aidan,Hutchinson,DE,Active,"6'7""",268,2000-08-09T00:00:00,Michigan,4,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/23257.png,8,,DET,2022,1,2,False,,1130232,,,Aidan Hutchinson,11
23334,HOU,24,Derek,Stingley Jr.,CB,Active,"6'1""",195,2001-06-20T00:00:00,LSU,4,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/23334.png,6,,HOU,2022,1,3,False,,1161722,,,Derek Stingley Jr.,13
23337,NYJ,1,Sauce,Gardner,CB,Active,"6'3""",190,2001-08-31T00:00:00,Cincinnati,4,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/23337.png,9,,NYJ,2022,1,4,False,,1164968,,,Ahmad Gardner,24
23260,NYG,5,Kayvon,Thibodeaux,OLB,Active,"6'5""",258,2000-12-15T00:00:00,Oregon,4,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/23260.png,14,,NYG,2022,1,5,False,,1161659,,,Kayvon Thibodeaux,23
23318,CAR,79,Ikem,Ekwonu,OT,Active,"6'4""",320,2000-10-31T00:00:00,North Carolina State,4,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/23318.png,14,,CAR,2022,1,6,False,,,,,,5
23265,NYG,73,Evan,Neal,OT,Active,"6'7""",340,2000-09-19T00:00:00,Alabama,4,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/23265.png,14,,NYG,2022,1,7,False,,,,,,23
23151,ATL,5,Drake,London,WR,Active,"6'4""",215,2001-07-24T00:00:00,USC,4,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/23151.png,5,23.0,ATL,2022,1,8,False,112745,1178741,,Drake London,Drake London,2
23303,SEA,67,Charles,Cross,OT,Active,"6'5""",317,2000-11-25T00:00:00,Mississippi State,4,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/23303.png,8,,SEA,2022,1,9,False,,,,,,30
23122,NYJ,5,Garrett,Wilson,WR,Active,"6'0""",183,2000-07-22T00:00:00,Ohio State,4,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/23122.png,9,39.0,NYJ,2022,1,10,False,103564,1164889,,Garrett Wilson,Garrett Wilson,24
22565,NO,12,Chris,Olave,WR,Active,"6'0""",187,2000-06-27T00:00:00,Ohio State,4,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22565.png,11,80.0,NO,2022,1,11,False,87770,1122592,,Chris Olave,Chris Olave,22
