PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPointsPPR,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID,AverageDraftPositionRookie,AverageDraftPositionDynasty,AverageDraftPosition2QB
21682,1,2022,IND,28,Jonathan Taylor,RB,OFF,17,17,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,316.4,1589.0,5.0,14.6,0.0,56.8,43.5,369.9,8.4,2.6,0.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.69,337.19,RB,0,0.0,78,74,315.44,0.0,0.0,0.0,0.0,0.0,339.89,1.2,1.4,14,,1.4,2.2
17959,1,2022,TEN,22,Derrick Henry,RB,OFF,17,17,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,341.9,1514.5,4.4,12.4,0.0,37.6,29.7,234.1,7.8,1.6,0.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.46,283.16,RB,0,0.0,60,53,268.31,0.0,0.0,0.0,0.0,0.0,285.86,2.3,4.2,34,,22.6,7.3
18877,1,2022,CAR,22,Christian McCaffrey,RB,OFF,17,17,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,225.8,1000.0,4.4,7.1,0.0,106.6,87.2,727.8,8.4,3.8,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.98,321.18,RB,0,0.0,57,59,277.58,0.0,0.0,0.0,0.0,0.0,323.28,2.6,2.4,5,,5.0,4.2
18872,1,2022,MIN,4,Dalvin Cook,RB,OFF,17,17,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,275.5,1244.8,4.5,9.9,0.0,65.3,47.0,367.4,7.8,1.6,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.22,272.22,RB,0,0.0,51,51,248.72,0.0,0.0,0.0,0.0,0.0,274.72,4.2,7.2,20,,15.8,11.4
18882,1,2022,LAR,10,Cooper Kupp,WR,OFF,17,17,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,3.6,20.5,5,0.1,0.0,169.1,121.7,1580.3,13.0,10.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.08,340.78,WR,0,0.0,56,59,279.93,0.0,0.0,0.0,0.0,0.0,341.58,4.9,5.8,32,,7.7,9.6
21685,1,2022,MIN,18,Justin Jefferson,WR,OFF,17,17,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.6,21.7,4.4,0.1,0.0,162.2,102.2,1516.6,14.9,7.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.63,301.83,WR,0,0.0,51,53,250.73,0.0,0.0,0.0,0.0,0.0,302.63,5.4,4.9,20,,2.9,7.8
19798,1,2022,CLE,24,Nick Chubb,RB,OFF,17,17,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,249.5,1248.5,5.0,8.6,0.0,32.6,25.7,206.6,8.0,1.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.51,227.21,RB,0,0.0,37,31,214.36,0.0,0.0,0.0,0.0,0.0,229.21,7.1,18.5,8,,20.9,25.3
19562,1,2022,LAC,30,Austin Ekeler,RB,OFF,17,17,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,205.7,925.8,4.5,8.4,0.0,94.3,71.9,640.1,8.9,4.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.39,304.29,RB,0,0.0,52,54,268.34,0.0,0.0,0.0,0.0,0.0,306.29,7.2,2.7,29,,11.0,6.4
22564,1,2022,CIN,1,Ja'Marr Chase,WR,OFF,17,17,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,8.6,45.7,5.1,0.2,0.0,144.4,87.8,1380.9,15.7,8.8,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.46,283.26,WR,0,0.0,49,49,239.36,0.0,0.0,0.0,0.0,0.0,283.86,7.5,8.8,7,,2.0,14.1
21768,1,2022,PIT,22,Najee Harris,RB,OFF,17,17,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,284.7,1147.3,4.0,7.8,0.0,87.2,63.0,424.1,6.7,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.94,276.94,RB,0,0.0,46,46,245.44,0.0,0.0,0.0,0.0,0.0,279.44,9.6,7.0,28,,4.1,11.3
21684,1,2022,DET,32,D'Andre Swift,RB,OFF,17,17,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,205.1,861.1,4.2,6.4,0.0,87.0,67.2,522.2,7.8,2.6,0.0,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.93,255.13,RB,0,0.0,32,37,221.53,0.0,0.0,0.0,0.0,0.0,257.33,10.3,13.1,11,,5.3,18.7
16906,1,2022,BUF,14,Stefon Diggs,WR,OFF,17,17,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.3,2.5,0,0.0,0.0,162.9,101.7,1258.4,12.3,8.9,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.29,279.99,WR,0,0.0,37,39,229.14,0.0,0.0,0.0,0.0,0.0,280.59,12.0,14.0,4,,19.2,20.6
