SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID,AverageDraftPositionDynasty,AverageDraftPosition2QB
1,2022,DET,467.0,1.8,34.5,201.0,10.0,10.3,1.0,11.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,17,63.0,58.0,1.8,0,88.0,455.0,0,0,0.0,88.0,88.0,11,97.6,148.9,11,,
1,2022,SEA,366.0,2.7,33.2,253.0,7.0,9.5,0.9,11.9,0.8,0.0,1.0,0.47,0.47,0.0,0.0,17,92.0,68.0,1.7,1,94.0,360.0,0,0,0.0,94.0,94.0,90,108.5,178.0,30,,
1,2022,BUF,289.0,2.8,44.6,276.0,12.0,14.1,1.1,16.3,1.7,1.0,1.0,0.0,0.0,0.0,0.0,17,91.0,90.0,2.8,0,125.0,289.0,1,1,0.0,127.0,127.0,37,110.5,117.3,4,113.6,122.7
1,2022,LAR,372.0,3.7,43.0,367.0,14.0,12.0,1.0,14.0,1.7,0.0,0.0,0.48,0.48,0.0,0.0,17,95.0,85.0,2.7,1,117.0,342.0,1,1,0.0,117.0,117.0,32,125.1,129.8,32,134.2,134.8
1,2022,TB,353.0,2.8,44.1,285.0,16.0,15.3,1.0,15.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,17,127.0,82.0,2.8,0,122.0,341.0,2,2,0.0,122.0,122.0,95,129.9,138.9,33,144.9,137.3
1,2022,ATL,459.0,1.8,30.1,152.0,14.0,10.1,0.9,12.7,0.9,1.0,0.0,0.0,0.0,0.0,0.0,17,58.0,58.0,1.8,0,85.0,439.0,0,0,0.0,87.0,87.0,2,133.0,187.0,2,,
1,2022,PIT,398.0,3.3,45.9,321.0,18.0,12.2,1.0,13.5,1.3,2.0,0.0,0.47,0.47,0.0,0.0,17,106.0,94.0,2.3,1,117.0,386.0,1,1,0.0,121.0,121.0,28,138.5,147.0,28,144.5,147.7
1,2022,IND,365.0,4.7,38.6,223.0,18.0,14.3,1.2,14.5,1.5,2.0,1.0,0.81,0.81,0.0,0.0,17,86.0,56.0,2.7,2,125.0,359.0,1,1,0.0,129.0,129.0,14,139.5,148.4,14,144.0,149.1
1,2022,SF,365.0,2.6,46.0,364.0,21.0,14.0,1.3,13.0,1.3,1.0,0.0,0.0,0.0,0.0,0.0,17,103.0,98.0,2.6,0,116.0,363.0,1,1,0.0,118.0,118.0,93,140.0,140.9,31,144.7,139.6
1,2022,CAR,404.0,3.1,38.4,293.0,14.0,11.3,0.9,12.6,1.2,1.0,1.0,0.46,0.46,0.0,0.0,17,94.0,83.0,2.1,1,106.0,390.0,0,0,0.0,108.0,108.0,5,142.6,163.5,5,,
