GameKey,PlayerID,SeasonType,Season,GameDate,Week,Team,Opponent,HomeOrAway,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPointsPPR,FantasyPosition,PlayerGameID,ExtraPointsAttempted,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,InjuryStatus,TeamID,OpponentID,ScoreID,SnapCountsConfirmed
202210204,19801,1,2022,2022-09-19T19:15:00,2,BUF,TEN,HOME,17,Josh Allen,QB,OFF,1,1,35.9,24.2,297.1,66.7,8.2,12.4,2.3,0.9,98.96,0.0,0.0,0.0,7.79,37.4,4.6,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.42,25.42,QB,990756690,0.0,26.32,0.0,0.0,0.0,0.0,0.0,26.32,,4,34,18001,
202210216,18890,1,2022,2022-09-15T20:15:00,2,KC,LAC,HOME,15,Patrick Mahomes,QB,OFF,1,1,38.5,26.3,302.1,68.4,7.9,11.6,2.5,0.8,98.79,0.0,0.0,0.0,3.9,21.2,5.2,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,23.8,QB,990754658,0.0,24.6,0.0,0.0,0.0,0.0,0.0,27.6,,16,29,17995,
202210216,21681,1,2022,2022-09-15T20:15:00,2,LAC,KC,AWAY,10,Justin Herbert,QB,OFF,1,1,38.3,25.7,297.1,68.4,7.8,11.4,2.2,0.8,98.25,0.0,0.0,0.0,4.5,22.5,5.5,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.53,22.53,QB,990754751,0.0,23.33,0.0,0.0,0.0,0.0,0.0,23.33,,29,16,17995,
202210225,20889,1,2022,2022-09-18T16:25:00,2,ARI,LV,AWAY,1,Kyler Murray,QB,OFF,1,1,35.3,23.5,260.3,68.6,7.4,10.8,1.7,0.8,97.32,0.0,0.0,0.0,6.7,39.0,5.6,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.91,21.91,QB,990756414,0.0,22.71,0.0,0.0,0.0,0.0,0.0,22.71,,1,25,18030,
202210203,19781,1,2022,2022-09-18T13:00:00,2,BAL,MIA,HOME,8,Lamar Jackson,QB,OFF,1,1,31.4,20.1,250.9,64.5,8.1,12.6,1.7,0.8,97.65,0.0,0.0,0.0,8.2,48.5,6,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.89,21.89,QB,990754812,0.0,22.69,0.0,0.0,0.0,0.0,0.0,22.69,,3,19,18027,
202210226,21831,1,2022,2022-09-19T20:30:00,2,PHI,MIN,HOME,1,Jalen Hurts,QB,OFF,1,1,31.1,19.5,246.7,64.5,8.0,12.4,1.6,0.8,97.11,0.0,0.0,0.0,7.9,46.5,5.8,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.72,21.72,QB,990756916,0.0,22.52,0.0,0.0,0.0,0.0,0.0,22.52,,26,20,18002,
202210210,14536,1,2022,2022-09-18T16:25:00,2,DEN,HOU,HOME,3,Russell Wilson,QB,OFF,1,1,33.2,22.6,283.9,69.7,8.6,12.3,2.1,0.8,103.6,0.0,0.0,0.0,3.2,18.0,6,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.16,21.16,QB,990756236,0.0,21.96,0.0,0.0,0.0,0.0,0.0,21.96,,10,13,18029,
202210209,21693,1,2022,2022-09-18T16:25:00,2,CIN,DAL,AWAY,9,Joe Burrow,QB,OFF,1,1,34.1,23.1,269.2,67.6,7.9,11.7,2.0,0.7,98.77,0.0,0.0,0.0,2.8,11.5,4,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.72,19.72,QB,990756122,0.0,20.42,0.0,0.0,0.0,0.0,0.0,20.42,,7,9,18244,
202210212,2593,1,2022,2022-09-18T20:20:00,2,GB,CHI,HOME,12,Aaron Rodgers,QB,OFF,1,1,32.9,22.1,253.5,66.7,7.7,11.5,2.2,0.3,109.91,0.0,0.0,0.0,1.2,5.0,5,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,19.44,QB,990756597,0.0,19.74,0.0,0.0,0.0,0.0,0.0,19.74,,12,6,18031,
202210222,4314,1,2022,2022-09-18T13:00:00,2,TB,NO,AWAY,12,Tom Brady,QB,OFF,1,1,38.4,25.0,275.3,65.8,7.2,11,2.1,0.7,93.64,0.0,0.0,0.0,1.5,2.1,1,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.82,18.82,QB,990755448,0.0,19.52,0.0,0.0,0.0,0.0,0.0,19.52,,33,22,18023,
