Name,Team,Position,FantasyPoints,Model,ModelName
Ja'Marr Chase,CIN,WR,403.00,google/gemini-2.5-pro,Gemini 2.5 Pro
Saquon Barkley,PHI,RB,349.30,google/gemini-2.5-pro,Gemini 2.5 Pro
Sam LaPorta,DET,TE,174.60,google/gemini-2.5-pro,Gemini 2.5 Pro
Travis Etienne Jr.,JAX,RB,130.20,google/gemini-2.5-pro,Gemini 2.5 Pro
Cooper Kupp,LAR,WR,175.00,google/gemini-2.5-pro,Gemini 2.5 Pro
Jordan Love,GB,QB,227.86,google/gemini-2.5-pro,Gemini 2.5 Pro
De'Von Achane,MIA,RB,299.90,google/gemini-2.5-pro,Gemini 2.5 Pro
Terry McLaurin,WAS,WR,267.80,google/gemini-2.5-pro,Gemini 2.5 Pro
Calvin Ridley,TEN,WR,199.20,google/gemini-2.5-pro,Gemini 2.5 Pro
Anthony Richardson,IND,QB,161.36,google/gemini-2.5-pro,Gemini 2.5 Pro
Jonathon Brooks,CAR,RB,7.50,google/gemini-2.5-pro,Gemini 2.5 Pro
Jaleel McLaughlin,DEN,RB,97.20,google/gemini-2.5-pro,Gemini 2.5 Pro
