Name,Team,Position,FantasyPoints,Model
Courtland Sutton,DEN,WR,240.30,openai/gpt-5-mini
Christian Watson,GB,WR,103.30,openai/gpt-5-mini
Isaiah Likely,BAL,TE,123.70,openai/gpt-5-mini
DeVonta Smith,PHI,WR,199.40,openai/gpt-5-mini
Tony Pollard,TEN,RB,198.70,openai/gpt-5-mini
Christian Kirk,JAX,WR,70.90,openai/gpt-5-mini
Jordan Addison,MIN,WR,212.50,openai/gpt-5-mini
Chuba Hubbard,CAR,RB,239.60,openai/gpt-5-mini
Deebo Samuel Sr.,SF,WR,153.60,openai/gpt-5-mini
Christian McCaffrey,SF,RB,47.80,openai/gpt-5-mini
Kyren Williams,LAR,RB,272.10,openai/gpt-5-mini
Lamar Jackson,BAL,QB,428.38,openai/gpt-5-mini
