Name,Team,Position,FantasyPoints,Model
Rachaad White,TB,RB,199.60,meta-llama/llama-4-maverick
Joe Mixon,HOU,RB,240.50,meta-llama/llama-4-maverick
Javonte Williams,DEN,RB,157.90,meta-llama/llama-4-maverick
Jaylen Warren,PIT,RB,124.10,meta-llama/llama-4-maverick
Tank Dell,HOU,WR,140.00,meta-llama/llama-4-maverick
Justin Herbert,LAC,QB,279.40,meta-llama/llama-4-maverick
Cole Kmet,CHI,TE,118.40,meta-llama/llama-4-maverick
Tyler Conklin,NYJ,TE,119.90,meta-llama/llama-4-maverick
Justin Jefferson,MIN,WR,317.48,meta-llama/llama-4-maverick
Breece Hall,NYJ,RB,236.90,meta-llama/llama-4-maverick
Chris Olave,NO,WR,76.70,meta-llama/llama-4-maverick
Najee Harris,PIT,RB,204.60,meta-llama/llama-4-maverick
