Name,Team,Position,FantasyPoints,Model
David Montgomery,DET,RB,221.72,google/gemini-2.5-pro
Drake London,ATL,WR,280.80,google/gemini-2.5-pro
Raheem Mostert,MIA,RB,70.90,google/gemini-2.5-pro
George Pickens,PIT,WR,164.40,google/gemini-2.5-pro
DeAndre Hopkins,KC,WR,147.00,google/gemini-2.5-pro
Zack Moss,CIN,RB,81.90,google/gemini-2.5-pro
Nick Chubb,CLE,RB,63.30,google/gemini-2.5-pro
Jakobi Meyers,LV,WR,216.00,google/gemini-2.5-pro
Amon-Ra St. Brown,DET,WR,316.18,google/gemini-2.5-pro
Bijan Robinson,ATL,RB,339.70,google/gemini-2.5-pro
C.J. Stroud,HOU,QB,220.38,google/gemini-2.5-pro
DK Metcalf,SEA,WR,191.20,google/gemini-2.5-pro
