Name,Team,Position,FantasyPoints,Model
Davante Adams,NYJ,WR,239.30,openai/gpt-5
George Kittle,SF,TE,236.60,openai/gpt-5
Tyler Lockett,SEA,WR,121.00,openai/gpt-5
Rhamondre Stevenson,NE,RB,171.90,openai/gpt-5
Josh Jacobs,GB,RB,293.10,openai/gpt-5
Alvin Kamara,NO,RB,265.30,openai/gpt-5
Stefon Diggs,HOU,WR,121.92,openai/gpt-5
Chris Godwin,TB,WR,137.80,openai/gpt-5
Jake Ferguson,DAL,TE,104.40,openai/gpt-5
James Conner,ARI,RB,249.80,openai/gpt-5
Tyjae Spears,TEN,RB,113.60,openai/gpt-5
Dalton Kincaid,BUF,TE,100.80,openai/gpt-5
