SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID,AverageDraftPositionDynasty,AverageDraftPosition2QB
1,2023,ARI,455.0,1.0,33.0,233.0,6.0,6.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,59.0,76.0,1.0,0,65.0,437.0,,,0.0,65.0,65.0,1,,,1,,
1,2023,ATL,373.0,1.0,42.0,258.0,19.0,8.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17,98.0,83.0,1.0,0,99.0,363.0,,,0.0,99.0,99.0,2,,,2,,
1,2023,BAL,280.0,2.0,60.0,454.0,16.0,13.0,0.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,17,115.0,89.0,1.0,1,174.0,268.0,,,0.0,174.0,174.0,36,,,3,,
1,2023,BUF,311.0,3.0,54.0,334.0,14.0,12.0,0.0,18.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,17,117.0,84.0,2.0,1,157.0,311.0,,,0.0,159.0,159.0,37,,,4,,
1,2023,CAR,416.0,3.0,27.0,193.0,5.0,4.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,17,74.0,75.0,2.0,1,73.0,386.0,,,0.0,73.0,73.0,5,,,5,,
1,2023,CHI,379.0,2.0,30.0,202.0,13.0,6.0,0.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17,92.0,72.0,2.0,0,116.0,351.0,,,0.0,118.0,118.0,38,,,6,,
1,2023,CIN,384.0,2.0,44.0,257.0,11.0,9.0,0.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17,110.0,75.0,1.0,1,118.0,378.0,,,0.0,118.0,118.0,7,,,7,,
1,2023,CLE,362.0,3.0,49.0,349.0,14.0,10.0,1.0,18.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,17,106.0,112.0,3.0,0,151.0,328.0,,,0.0,157.0,157.0,8,,,8,,
1,2023,DAL,315.0,7.0,46.0,296.0,14.0,9.0,1.0,17.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,17,99.0,83.0,6.0,1,172.0,309.0,,,0.0,178.0,178.0,48,,,9,,
1,2023,DEN,413.0,2.0,42.0,330.0,19.0,15.0,1.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,17,100.0,71.0,1.0,1,116.0,399.0,,,0.0,118.0,118.0,49,,,10,,
1,2023,DET,395.0,1.0,41.0,357.0,13.0,6.0,0.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17,116.0,81.0,1.0,0,107.0,375.0,,,1.0,107.0,107.0,11,,,11,,
1,2023,GB,350.0,2.0,45.0,288.0,11.0,12.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,17,108.0,76.0,2.0,0,113.0,350.0,,,0.0,117.0,117.0,12,,,12,,
