Name,Team,Position,FantasyPoints,Model
Alvin Kamara,NO,RB,265.30,google/gemini-2.5-pro
Evan Engram,JAX,TE,87.50,google/gemini-2.5-pro
D'Andre Swift,CHI,RB,212.50,google/gemini-2.5-pro
Rashee Rice,KC,WR,64.90,google/gemini-2.5-pro
Christian Kirk,JAX,WR,70.90,google/gemini-2.5-pro
Tyler Lockett,SEA,WR,121.00,google/gemini-2.5-pro
Xavier Worthy,KC,WR,187.20,google/gemini-2.5-pro
Malik Nabers,NYG,WR,271.60,google/gemini-2.5-pro
Tyreek Hill,MIA,WR,218.20,google/gemini-2.5-pro
Breece Hall,NYJ,RB,236.90,google/gemini-2.5-pro
Lamar Jackson,BAL,QB,428.38,google/gemini-2.5-pro
Chris Olave,NO,WR,76.70,google/gemini-2.5-pro
