Name,Team,Position,FantasyPoints,Model
Jordan Addison,MIN,WR,212.50,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0
Hunter Henry,NE,TE,145.40,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0
Chuba Hubbard,CAR,RB,239.60,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0
Dalton Schultz,HOU,TE,118.20,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0
Jerome Ford,CLE,RB,134.00,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0
Jake Ferguson,DAL,TE,104.40,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0
Alexander Mattison,LV,RB,135.40,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0
DJ Moore,CHI,WR,236.10,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0
DeVonta Smith,PHI,WR,199.40,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0
George Pickens,PIT,WR,164.40,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0
Cooper Kupp,LAR,WR,175.00,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0
Dak Prescott,DAL,QB,116.52,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0
