Rank,Name,Team,Position,FantasyPoints
1,Lamar Jackson,BAL,QB,428.38
2,Ja'Marr Chase,CIN,WR,403.00
3,Josh Allen,BUF,QB,377.04
4,Joe Burrow,CIN,QB,372.82
5,Baker Mayfield,TB,QB,363.80
6,Jahmyr Gibbs,DET,RB,362.90
7,Jayden Daniels,WAS,QB,349.82
8,Saquon Barkley,PHI,RB,349.30
9,Bijan Robinson,ATL,RB,339.70
10,Derrick Henry,BAL,RB,336.40
11,Jared Goff,DET,QB,322.46
12,Justin Jefferson,MIN,WR,317.48
13,Bo Nix,DEN,QB,317.20
14,Aaron Stinnie,DET,WR,316.18
15,Jalen Hurts,PHI,QB,315.12
16,Sam Darnold,MIN,QB,307.96
17,De'Von Achane,MIA,RB,299.90
18,Kyler Murray,ARI,QB,295.24
19,Josh Jacobs,GB,RB,293.10
20,Patrick Mahomes,KC,QB,283.02
21,Drake London,ATL,WR,280.80
22,B.Thomas Jr.,JAX,WR,280.00
23,Justin Herbert,LAC,QB,279.40
24,Kyren Williams,LAR,RB,272.10
25,Malik Nabers,NYG,WR,271.60
26,Terry McLaurin,WAS,WR,267.80
27,Brock Purdy,SF,QB,266.86
28,James Cook,BUF,RB,266.70
29,Geno Smith,SEA,QB,266.00
30,Alvin Kamara,NO,RB,265.30
31,Brock Bowers,LV,TE,262.70
32,CeeDee Lamb,DAL,WR,261.40
33,Jaxon Smith-Njigba,SEA,WR,253.00
34,Chase Brown,CIN,RB,253.00
35,Aaron Rodgers,NYJ,QB,252.58
36,Garrett Wilson,NYJ,WR,249.90
37,James Conner,ARI,RB,249.80
38,Trey McBride,ARI,TE,249.80
39,Caleb Williams,CHI,QB,248.54
40,Jonathan Taylor,IND,RB,246.70
41,Bucky Irving,TB,RB,244.40
42,Aaron Jones,MIN,RB,241.60
43,Joe Mixon,HOU,RB,240.50
44,Mike Evans,TB,WR,240.40
45,Courtland Sutton,DEN,WR,240.30
46,Chuba Hubbard,CAR,RB,239.60
