Name,Team,Position,FantasyPoints,Model,ModelName
Davis Allen,LAR,TE,9.90,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta Llama 3.1 405B
Joe Burrow,CIN,QB,372.82,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta Llama 3.1 405B
Brevyn Spann-Ford,DAL,TE,17.80,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta Llama 3.1 405B
DJ Turner,LV,WR,47.10,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta Llama 3.1 405B
Bucky Irving,TB,RB,244.40,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta Llama 3.1 405B
Caleb Williams,CHI,QB,248.54,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta Llama 3.1 405B
Feleipe Franks,CAR,TE,2.20,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta Llama 3.1 405B
Jayden Reed,GB,WR,197.00,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta Llama 3.1 405B
Geno Smith,SEA,QB,266.00,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta Llama 3.1 405B
Russell Wilson,PIT,QB,172.78,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta Llama 3.1 405B
Trevor Lawrence,JAX,QB,139.20,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta Llama 3.1 405B
Sam Darnold,MIN,QB,307.96,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta Llama 3.1 405B
