GameKey,SeasonType,Season,Week,Date,Team,Opponent,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,HomeOrAway,TeamID,OpponentID,ScoreID
202411230,1,2024,12,2024-11-24T16:25:00,ARI,SEA,16.0,0.0,5.0,34.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0,11.0,10.0,0.0,11.0,11.0,1,AWAY,1,30,18838
202411229,1,2024,12,2024-11-25T20:15:00,BAL,LAC,23.0,0.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0,4.0,23.0,0.0,4.0,4.0,36,AWAY,3,29,18835
202411205,1,2024,12,2024-11-24T13:00:00,CAR,KC,30.0,0.0,5.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0,4.0,30.0,0.0,4.0,4.0,5,HOME,5,16,18840
202411206,1,2024,12,2024-11-24T13:00:00,CHI,MIN,30.0,0.0,3.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0,4.0,30.0,0.0,4.0,4.0,38,HOME,6,20,18841
202411208,1,2024,12,2024-11-21T20:15:00,CLE,PIT,19.0,0.0,4.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0,7.0,19.0,0.0,7.0,7.0,8,HOME,8,28,18847
202411235,1,2024,12,2024-11-24T13:00:00,DAL,WAS,26.0,2.0,4.0,8.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,5.0,0.0,2,22.0,26.0,0.0,22.0,22.0,48,AWAY,9,35,18846
202411225,1,2024,12,2024-11-24T16:05:00,DEN,LV,19.0,0.0,5.0,28.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0,10.0,19.0,0.0,10.0,10.0,49,AWAY,10,25,18839
202411214,1,2024,12,2024-11-24T13:00:00,DET,IND,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0,7.0,6.0,0.0,7.0,7.0,11,AWAY,11,14,18843
202411212,1,2024,12,2024-11-24T16:25:00,GB,SF,10.0,0.0,2.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0,12.0,10.0,0.0,12.0,12.0,12,HOME,12,31,18837
202411213,1,2024,12,2024-11-24T13:00:00,HOU,TEN,32.0,1.0,8.0,41.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,1.0,0,19.0,30.0,0.0,19.0,19.0,13,HOME,13,34,18842
202411214,1,2024,12,2024-11-24T13:00:00,IND,DET,24.0,0.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0,3.0,24.0,0.0,3.0,3.0,14,HOME,14,11,18843
202411205,1,2024,12,2024-11-24T13:00:00,KC,CAR,27.0,0.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0,2.0,27.0,0.0,2.0,2.0,55,AWAY,16,5,18840
202411229,1,2024,12,2024-11-25T20:15:00,LAC,BAL,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0,0.0,30.0,0.0,0.0,0.0,84,HOME,29,3,18835
202411232,1,2024,12,2024-11-24T20:20:00,LAR,PHI,37.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0,-3.0,37.0,0.0,-3.0,-3.0,32,HOME,32,26,18836
202411225,1,2024,12,2024-11-24T16:05:00,LV,DEN,29.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0,0.0,29.0,0.0,0.0,0.0,83,HOME,25,10,18839
202411219,1,2024,12,2024-11-24T13:00:00,MIA,NE,15.0,0.0,4.0,39.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0,12.0,9.0,0.0,12.0,12.0,64,HOME,19,21,18844
202411206,1,2024,12,2024-11-24T13:00:00,MIN,CHI,27.0,0.0,3.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0,5.0,27.0,0.0,7.0,7.0,67,AWAY,20,6,18841
202411219,1,2024,12,2024-11-24T13:00:00,NE,MIA,34.0,1.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0,9.0,34.0,0.0,9.0,9.0,21,AWAY,21,19,18844
202411223,1,2024,12,2024-11-24T13:00:00,NYG,TB,30.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0,1.0,30.0,0.0,1.0,1.0,75,HOME,23,33,18845
202411232,1,2024,12,2024-11-24T20:20:00,PHI,LAR,20.0,0.0,5.0,45.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0,8.0,20.0,0.0,8.0,8.0,26,AWAY,26,32,18836
202411208,1,2024,12,2024-11-21T20:15:00,PIT,CLE,24.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0,7.0,24.0,0.0,7.0,7.0,28,AWAY,28,8,18847
202411230,1,2024,12,2024-11-24T16:25:00,SEA,ARI,6.0,1.0,5.0,36.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,0,20.0,6.0,0.0,20.0,20.0,90,HOME,30,1,18838
202411212,1,2024,12,2024-11-24T16:25:00,SF,GB,38.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0,-2.0,38.0,0.0,-2.0,-2.0,93,AWAY,31,12,18837
202411223,1,2024,12,2024-11-24T13:00:00,TB,NYG,7.0,0.0,4.0,23.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0,12.0,7.0,0.0,12.0,12.0,95,AWAY,33,23,18845
202411213,1,2024,12,2024-11-24T13:00:00,TEN,HOU,27.0,0.0,4.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0,10.0,21.0,0.0,10.0,10.0,34,AWAY,34,13,18842
202411235,1,2024,12,2024-11-24T13:00:00,WAS,DAL,34.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0,2.0,34.0,0.0,4.0,4.0,97,HOME,35,9,18846
