Name,Team,Position,FantasyPoints,Model,ModelName
CeeDee Lamb,DAL,WR,261.40,qwen/qwen3-max,Qwen 3 Max
Saquon Barkley,PHI,RB,349.30,qwen/qwen3-max,Qwen 3 Max
Mike Evans,TB,WR,240.40,qwen/qwen3-max,Qwen 3 Max
DeVonta Smith,PHI,WR,199.40,qwen/qwen3-max,Qwen 3 Max
Stefon Diggs,HOU,WR,121.92,qwen/qwen3-max,Qwen 3 Max
Kyle Pitts,ATL,TE,131.20,qwen/qwen3-max,Qwen 3 Max
Dalton Kincaid,BUF,TE,100.80,qwen/qwen3-max,Qwen 3 Max
Jaylen Warren,PIT,RB,124.10,qwen/qwen3-max,Qwen 3 Max
Brock Purdy,SF,QB,266.86,qwen/qwen3-max,Qwen 3 Max
Javonte Williams,DEN,RB,157.90,qwen/qwen3-max,Qwen 3 Max
Chase Brown,CIN,RB,253.00,qwen/qwen3-max,Qwen 3 Max
Jaleel McLaughlin,DEN,RB,97.20,qwen/qwen3-max,Qwen 3 Max
