SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID,AverageDraftPositionDynasty,AverageDraftPosition2QB
1,2024,ARI,379.0,1.0,41.0,256.0,17.0,8.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,17,76.0,87.0,0.0,1,100.0,371.0,,,0.0,100.0,100.0,1,,,1,,
1,2024,ATL,423.0,4.0,31.0,187.0,12.0,6.0,1.0,12.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,17,74.0,79.0,4.0,0,93.0,409.0,,,0.0,95.0,95.0,2,,,2,,
1,2024,BAL,361.0,2.0,54.0,318.0,12.0,5.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17,122.0,82.0,2.0,0,118.0,357.0,,,0.0,120.0,120.0,36,,,3,,
1,2024,BUF,368.0,3.0,39.0,257.0,18.0,16.0,1.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,17,94.0,93.0,3.0,0,133.0,368.0,,,0.0,133.0,133.0,37,,,4,,
1,2024,CAR,534.0,0.0,32.0,223.0,8.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,64.0,65.0,0.0,0,41.0,528.0,,,0.0,41.0,41.0,5,,,5,,
1,2024,CHI,370.0,3.0,40.0,254.0,17.0,13.0,0.0,11.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,17,100.0,81.0,1.0,2,117.0,368.0,,,0.0,121.0,121.0,38,,,6,,
1,2024,CIN,434.0,3.0,36.0,217.0,14.0,10.0,0.0,15.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,17,105.0,72.0,2.0,1,102.0,416.0,,,0.0,104.0,104.0,7,,,7,,
1,2024,CLE,435.0,2.0,41.0,267.0,12.0,8.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,17,108.0,112.0,1.0,1,79.0,417.0,,,0.0,81.0,81.0,8,,,8,,
1,2024,DAL,468.0,4.0,52.0,337.0,17.0,9.0,0.0,13.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,17,105.0,70.0,1.0,3,109.0,456.0,,,0.0,109.0,109.0,48,,,9,,
1,2024,DEN,311.0,5.0,63.0,360.0,12.0,9.0,2.0,15.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,17,142.0,94.0,5.0,0,179.0,311.0,,,0.0,179.0,179.0,49,,,10,,
1,2024,DET,342.0,2.0,37.0,256.0,14.0,8.0,0.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17,110.0,70.0,1.0,1,123.0,332.0,,,0.0,123.0,123.0,11,,,11,,
1,2024,GB,338.0,1.0,45.0,301.0,16.0,14.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17,91.0,95.0,1.0,0,144.0,326.0,,,0.0,146.0,146.0,12,,,12,,
1,2024,HOU,372.0,3.0,49.0,336.0,11.0,9.0,2.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17,98.0,106.0,3.0,0,139.0,370.0,,,0.0,139.0,139.0,13,,,13,,
1,2024,IND,427.0,1.0,36.0,243.0,18.0,10.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17,83.0,88.0,1.0,0,91.0,415.0,,,0.0,93.0,93.0,14,,,14,,
1,2024,JAX,435.0,2.0,34.0,230.0,5.0,3.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,17,68.0,82.0,1.0,1,67.0,433.0,,,0.0,69.0,69.0,52,,,15,,
1,2024,KC,326.0,1.0,39.0,250.0,15.0,7.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17,112.0,88.0,1.0,0,104.0,326.0,,,0.0,106.0,106.0,55,,,16,,
1,2024,LAC,301.0,1.0,46.0,245.0,8.0,6.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17,98.0,77.0,1.0,0,126.0,299.0,,,0.0,128.0,128.0,84,,,29,,
1,2024,LAR,386.0,4.0,38.0,313.0,10.0,7.0,1.0,13.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,17,72.0,72.0,3.0,1,114.0,386.0,,,2.0,116.0,116.0,32,,,32,,
1,2024,LV,434.0,1.0,38.0,313.0,6.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,86.0,83.0,1.0,0,71.0,414.0,,,0.0,71.0,71.0,83,,,25,,
1,2024,MIA,364.0,0.0,35.0,247.0,8.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,81.0,83.0,0.0,0,84.0,348.0,,,0.0,84.0,84.0,64,,,19,,
1,2024,MIN,332.0,3.0,49.0,345.0,12.0,9.0,1.0,24.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17,113.0,96.0,3.0,0,158.0,324.0,,,0.0,162.0,162.0,67,,,20,,
1,2024,NE,417.0,1.0,28.0,153.0,14.0,5.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17,66.0,63.0,1.0,0,62.0,403.0,,,0.0,64.0,64.0,21,,,21,,
1,2024,NO,398.0,1.0,39.0,240.0,12.0,3.0,0.0,14.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,17,84.0,77.0,0.0,1,90.0,374.0,,,0.0,96.0,96.0,69,,,22,,
1,2024,NYG,415.0,2.0,45.0,289.0,16.0,10.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,17,94.0,96.0,0.0,2,87.0,385.0,,,0.0,91.0,91.0,75,,,23,,
1,2024,NYJ,404.0,1.0,43.0,313.0,14.0,10.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17,84.0,89.0,0.0,1,93.0,388.0,,,1.0,95.0,95.0,82,,,24,,
1,2024,PHI,303.0,1.0,41.0,305.0,22.0,13.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,87.0,81.0,1.0,0,132.0,297.0,,,1.0,132.0,132.0,26,,,26,,
1,2024,PIT,347.0,2.0,40.0,275.0,22.0,16.0,1.0,17.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,17,105.0,84.0,1.0,1,140.0,335.0,,,0.0,146.0,146.0,28,,,28,,
1,2024,SEA,368.0,5.0,45.0,327.0,14.0,5.0,2.0,13.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,17,112.0,74.0,4.0,1,132.0,356.0,,,1.0,136.0,136.0,90,,,30,,
1,2024,SF,436.0,2.0,37.0,198.0,13.0,6.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,17,80.0,67.0,1.0,1,82.0,436.0,,,1.0,84.0,84.0,93,,,31,,
1,2024,TB,385.0,2.0,46.0,317.0,16.0,12.0,1.0,7.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,17,114.0,81.0,1.0,1,102.0,383.0,,,0.0,106.0,106.0,95,,,33,,
1,2024,TEN,460.0,0.0,32.0,202.0,10.0,6.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17,67.0,92.0,0.0,0,69.0,430.0,,,0.0,69.0,69.0,34,,,34,,
1,2024,WAS,391.0,1.0,43.0,271.0,16.0,10.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17,88.0,86.0,1.0,0,88.0,391.0,,,0.0,90.0,90.0,97,,,35,,
