PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,PositionCategory,PhotoUrl,ByeWeek,AverageDraftPosition,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,FanDuelPlayerID,DraftKingsPlayerID,InjuryStatus,FanDuelName,DraftKingsName,TeamID
24927,CHI,18,Caleb,Williams,QB,Active,"6'1""",226,2001-11-18T00:00:00,USC,2,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,5,102.0,CHI,2024,1,1,False,152113,1286445,,Caleb Williams,Caleb Williams,6
23235,WAS,5,Jayden,Daniels,QB,Active,"6'4""",210,2000-12-18T00:00:00,LSU,2,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,12,26.0,WAS,2024,1,2,False,102785,1161228,,Jayden Daniels,Jayden Daniels,35
24958,NE,10,Drake,Maye,QB,Active,"6'4""",225,2002-08-30T00:00:00,North Carolina,2,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,14,126.0,NE,2024,1,3,False,152316,1286803,,Drake Maye,Drake Maye,21
24974,ARI,18,Marvin,Harrison Jr.,WR,Active,"6'3""",220,2002-08-11T00:00:00,Ohio State,2,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,8,34.0,ARI,2024,1,4,False,152651,1287828,,Marvin Harrison Jr.,Marvin Harrison Jr.,1
24936,LAC,76,Joe,Alt,OT,Active,"6'8""",322,2003-02-28T00:00:00,Notre Dame,2,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,12,,LAC,2024,1,5,False,,,,,,29
24953,NYG,1,Malik,Nabers,WR,Active,"6'0""",200,2003-07-28T00:00:00,LSU,2,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,14,12.0,NYG,2024,1,6,False,151761,1286059,,Malik Nabers,Malik Nabers,23
24962,TEN,55,JC,Latham,OT,Active,"6'6""",342,2003-02-08T00:00:00,Alabama,2,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,10,,TEN,2024,1,7,False,,,,,,34
23242,ATL,9,Michael,Penix Jr.,QB,Active,"6'3""",220,2000-05-08T00:00:00,Washington,2,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,5,158.0,ATL,2024,1,8,False,88797,1107478,,Michael Penix Jr.,Michael Penix Jr.,2
24977,CHI,15,Rome,Odunze,WR,Active,"6'3""",214,2002-06-03T00:00:00,Washington,2,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,5,81.0,CHI,2024,1,9,False,120033,1213727,,Rome Odunze,Rome Odunze,6
24956,MIN,9,J.J.,McCarthy,QB,Active,"6'3""",219,2003-01-20T00:00:00,Michigan,2,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,6,124.0,MIN,2024,1,10,False,152575,1287599,,J.J. McCarthy,J.J. McCarthy,20
25009,NYJ,74,Olu,Fashanu,OL,Active,"6'6""",312,2002-12-09T00:00:00,Penn State,2,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,9,,NYJ,2024,1,11,False,,,,,,24
25069,DEN,10,Bo,Nix,QB,Active,"6'2""",217,2000-02-25T00:00:00,Oregon,2,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,12,72.0,DEN,2024,1,12,False,102965,1161899,,Bo Nix,Bo Nix,10
24943,LV,89,Brock,Bowers,TE,Active,"6'4""",235,2002-12-13T00:00:00,Georgia,2,TE,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,8,30.0,LV,2024,1,13,False,151794,1285917,,Brock Bowers,Brock Bowers,25
25011,NO,75,Taliese,Fuaga,OT,Active,"6'6""",324,2002-04-05T00:00:00,Oregon State,2,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,11,,NO,2024,1,14,False,,,,,,22
24993,IND,97,Laiatu,Latu,DE,Active,"6'5""",265,2000-12-31T00:00:00,UCLA,2,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,11,,IND,2024,1,15,False,,,,,,14
25022,SEA,91,Byron,Murphy II,DT,Active,"6'0""",306,2002-09-08T00:00:00,Texas,2,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,8,,SEA,2024,1,16,False,,,,,,30
24931,MIN,15,Dallas,Turner,OLB,Active,"6'3""",247,2003-02-02T00:00:00,Alabama,2,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,6,,MIN,2024,1,17,False,,,,,,20
24955,CIN,71,Amarius,Mims,OT,Active,"6'8""",350,2002-10-14T00:00:00,Georgia,2,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,10,,CIN,2024,1,18,False,,,,,,7
24139,LAR,8,Jared,Verse,OLB,Active,"6'4""",260,2000-11-04T00:00:00,Florida State,2,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,8,,LAR,2024,1,19,False,,,,,,32
25006,PIT,76,Troy,Fautanu,OT,Active,"6'4""",317,2000-10-11T00:00:00,Washington,2,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,5,,PIT,2024,1,20,False,,,,,,28
24949,MIA,44,Chop,Robinson,LB,Active,"6'3""",254,2003-01-02T00:00:00,Penn State,2,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,12,,MIA,2024,1,21,False,,,,,,19
25030,PHI,27,Quinyon,Mitchell,CB,Active,"6'0""",193,2001-07-18T00:00:00,Toledo,2,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,9,,PHI,2024,1,22,False,,,,,,26
24933,JAX,7,Brian,Thomas Jr.,WR,Active,"6'2""",209,2002-10-08T00:00:00,LSU,2,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,8,17.0,JAX,2024,1,23,False,151745,1286064,,Brian Thomas Jr.,Brian Thomas Jr.,15
24940,DET,6,Terrion,Arnold,CB,Active,"6'0""",195,2003-03-22T00:00:00,Alabama,2,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,8,,DET,2024,1,24,False,,,,,,11
25018,GB,77,Jordan,Morgan,OT,Active,"6'5""",311,2001-08-04T00:00:00,Arizona,2,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,5,,GB,2024,1,25,False,,,,,,12
25038,TB,62,Graham,Barton,C,Active,"6'5""",314,2002-06-01T00:00:00,Duke,2,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,9,,TB,2024,1,26,False,,,,,,33
25299,ARI,56,Darius,Robinson,DL,Active,"6'5""",285,2001-09-13T00:00:00,Missouri,2,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,8,,ARI,2024,1,27,False,,,,,,1
24924,KC,1,Xavier,Worthy,WR,Active,"5'11""",165,2003-04-27T00:00:00,Texas,2,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,10,64.0,KC,2024,1,28,False,158974,1326638,,Xavier Worthy,Xavier Worthy,16
25004,DAL,60,Tyler,Guyton,OT,Active,"6'7""",322,2002-06-11T00:00:00,Oklahoma,2,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,10,,DAL,2024,1,29,False,,,Questionable,,,9
24928,BAL,2,Nate,Wiggins,CB,Active,"6'1""",182,2003-08-28T00:00:00,Clemson,2,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,7,,BAL,2024,1,30,False,,,,,,3
24982,SF,1,Ricky,Pearsall,WR,Active,"6'1""",189,2000-09-09T00:00:00,Florida,2,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,14,98.0,SF,2024,1,31,False,102796,1161416,,Ricky Pearsall,Ricky Pearsall,31
25003,CAR,17,Xavier,Legette,WR,Active,"6'3""",227,2001-01-29T00:00:00,South Carolina,2,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,14,175.0,CAR,2024,1,32,False,114198,1180321,,Xavier Legette,Xavier Legette,5
24964,BUF,0,Keon,Coleman,WR,Active,"6'4""",215,2003-05-17T00:00:00,Florida State,2,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,7,117.0,BUF,2024,2,33,False,157467,1322431,,Keon Coleman,Keon Coleman,4
