SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID,AverageDraftPositionDynasty,AverageDraftPosition2QB
1,2024,SF,298.0,2.8,44.1,307.0,10.0,10.3,0.9,14.3,1.9,0.0,1.0,0.0,0.0,0.0,0.0,17,122.0,80.0,2.8,0,112.0,292.0,1,1,0.0,112.0,112.0,93,153.0,131.0,31,135.6,135.5
1,2024,NYJ,355.0,4.2,47.7,321.0,14.0,10.1,1.0,14.3,2.2,1.0,3.0,0.45,0.45,0.0,0.0,17,107.0,99.0,3.2,1,128.0,341.0,1,1,0.0,130.0,130.0,82,154.0,141.0,24,,140.3
1,2024,DAL,315.0,4.2,48.5,296.0,14.0,11.1,1.0,13.8,2.2,3.0,1.0,0.48,0.48,0.0,0.0,17,99.0,83.0,3.2,1,125.0,309.0,2,2,0.0,131.0,131.0,48,161.0,130.0,9,97.0,134.4
1,2024,BAL,280.0,3.9,48.3,454.0,16.0,10.9,1.0,13.9,1.9,0.0,1.0,0.45,0.45,0.0,0.0,17,115.0,89.0,2.9,1,123.0,268.0,2,1,0.0,123.0,123.0,36,163.0,129.0,3,166.0,129.2
1,2024,CLE,362.0,2.9,46.4,349.0,14.0,10.1,1.0,13.3,1.9,3.0,0.0,0.0,0.0,0.0,0.0,17,106.0,112.0,2.9,0,110.0,328.0,1,1,0.0,116.0,116.0,8,179.0,149.0,8,149.5,148.0
1,2024,PIT,324.0,2.8,46.8,304.0,19.0,9.7,0.9,12.9,1.9,2.0,1.0,0.0,0.0,0.0,0.0,17,107.0,83.0,2.8,0,110.0,324.0,1,1,0.0,114.0,114.0,28,188.0,164.0,28,121.0,151.0
1,2024,KC,294.0,2.8,47.1,351.0,15.0,10.3,0.9,12.7,1.9,1.0,0.0,0.0,0.0,0.0,0.0,17,125.0,87.0,2.8,0,109.0,274.0,1,1,0.0,111.0,111.0,55,196.0,179.0,16,84.0,156.5
1,2024,BUF,311.0,3.3,44.5,334.0,14.0,10.5,0.9,13.4,1.4,1.0,0.0,0.56,0.56,0.0,0.0,17,117.0,84.0,2.3,1,111.0,311.0,1,1,0.0,113.0,113.0,37,208.0,161.0,4,90.5,147.2
1,2024,MIA,391.0,2.2,45.8,371.0,15.0,10.8,0.9,12.7,1.3,0.0,0.0,0.0,0.0,0.0,0.0,17,140.0,79.0,2.2,0,106.0,367.0,1,1,0.0,106.0,106.0,64,214.0,185.0,19,,138.5
1,2024,HOU,353.0,4.5,47.6,355.0,15.0,10.6,0.9,13.2,1.6,1.0,0.0,1.0,1.0,0.0,0.0,17,112.0,105.0,2.5,2,122.0,345.0,1,1,0.0,124.0,124.0,13,219.0,181.0,13,,152.1
1,2024,PHI,428.0,2.8,46.7,255.0,16.0,10.3,0.9,13.2,1.9,1.0,1.0,0.0,0.0,0.0,0.0,17,106.0,73.0,2.8,0,112.0,416.0,1,1,0.0,114.0,114.0,26,221.0,201.0,26,,149.3
1,2024,NO,327.0,3.6,41.3,244.0,8.0,10.0,1.0,13.1,1.6,1.0,0.0,0.44,0.44,0.0,0.0,17,76.0,70.0,2.6,1,109.0,315.0,1,0,0.0,111.0,111.0,69,233.0,193.0,22,171.0,
1,2024,TB,325.0,2.2,43.4,336.0,18.0,10.4,0.9,12.3,1.3,0.0,1.0,0.0,0.0,0.0,0.0,17,84.0,91.0,2.2,0,104.0,323.0,0,0,0.0,104.0,104.0,95,235.0,208.0,33,,
1,2024,LV,331.0,2.2,43.5,290.0,14.0,9.6,0.9,11.9,1.3,0.0,1.0,0.0,0.0,0.0,0.0,17,89.0,82.0,2.2,0,102.0,325.0,0,0,0.0,102.0,102.0,83,239.0,220.0,25,,151.5
1,2024,DET,395.0,2.4,42.5,357.0,13.0,9.1,0.9,13.9,1.5,0.0,1.0,0.0,0.0,0.0,0.0,17,116.0,81.0,2.4,0,104.0,375.0,0,0,0.0,104.0,104.0,11,246.0,197.0,11,,156.6
1,2024,SEA,402.0,2.4,44.1,298.0,13.0,9.5,0.9,12.9,1.5,1.0,0.0,0.0,0.0,0.0,0.0,17,97.0,99.0,2.4,0,103.0,402.0,0,0,0.0,105.0,105.0,90,255.0,227.0,30,,
1,2024,CHI,379.0,2.5,39.4,202.0,13.0,9.2,0.9,13.8,1.6,1.0,0.0,0.0,0.0,0.0,0.0,17,92.0,72.0,2.5,0,100.0,351.0,1,0,0.0,102.0,102.0,38,261.0,182.0,6,,151.2
1,2024,CIN,384.0,3.3,45.0,257.0,11.0,10.1,0.9,12.9,1.4,0.0,0.0,0.47,0.47,0.0,0.0,17,110.0,75.0,2.3,1,110.0,378.0,0,0,0.0,110.0,110.0,7,265.0,200.0,7,,153.9
