Key,TeamID,PlayerID,City,Name,Conference,Division,FullName,StadiumID,ByeWeek,AverageDraftPosition,AverageDraftPositionPPR,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl,DraftKingsName,DraftKingsPlayerID,FanDuelName,FanDuelPlayerID,AverageDraftPosition2QB,AverageDraftPositionDynasty,StadiumDetails
ARI,1,1,Arizona,Cardinals,NFC,West,Arizona Cardinals,29,8,293.0,267.0,97233F,FFFFFF,000000,A5ACAF,https://upload.wikimedia.org/wikipedia/en/7/72/Arizona_Cardinals_logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/04/Arizona_Cardinals_wordmark.svg,Cardinals ,355,Arizona Cardinals,12546,155.8,154.0,"{'StadiumID': 29, 'Name': 'State Farm Stadium', 'City': 'Glendale', 'State': 'AZ', 'Country': 'USA', 'Capacity': 63400, 'PlayingSurface': 'Grass', 'GeoLat': 33.528, 'GeoLong': -112.263036, 'Type': 'RetractableDome'}"
ATL,2,2,Atlanta,Falcons,NFC,South,Atlanta Falcons,45,5,315.0,313.0,000000,A71930,A5ACAF,FFFFFF,https://upload.wikimedia.org/wikipedia/en/c/c5/Atlanta_Falcons_logo.svg,https://upload.wikimedia.org/wikipedia/commons/e/ec/Atlanta_Falcons_wordmark.svg,Falcons ,323,Atlanta Falcons,12525,141.1,170.7,"{'StadiumID': 45, 'Name': 'Mercedes-Benz Stadium', 'City': 'Atlanta', 'State': 'GA', 'Country': 'USA', 'Capacity': 71000, 'PlayingSurface': 'Artificial', 'GeoLat': 33.755556, 'GeoLong': -84.401, 'Type': 'RetractableDome'}"
BAL,3,36,Baltimore,Ravens,AFC,North,Baltimore Ravens,7,7,156.0,144.0,24135F,000000,9A7611,,https://upload.wikimedia.org/wikipedia/en/1/16/Baltimore_Ravens_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Baltimore_Ravens_wordmark.svg,Ravens ,366,Baltimore Ravens,12555,128.2,166.0,"{'StadiumID': 7, 'Name': 'M&T Bank Stadium', 'City': 'Baltimore', 'State': 'MD', 'Country': 'USA', 'Capacity': 71008, 'PlayingSurface': 'Grass', 'GeoLat': 39.278056, 'GeoLong': -76.622778, 'Type': 'Outdoor'}"
BUF,4,37,Buffalo,Bills,AFC,East,Buffalo Bills,1,7,207.0,146.0,00338D,C60C30,707271,FFFFFF,https://upload.wikimedia.org/wikipedia/en/7/77/Buffalo_Bills_logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Buffalo_Bills_wordmark.svg,Bills ,324,Buffalo Bills,12526,129.7,142.0,"{'StadiumID': 1, 'Name': 'Highmark Stadium', 'City': 'Orchard Park', 'State': 'NY', 'Country': 'USA', 'Capacity': 71608, 'PlayingSurface': 'Artificial', 'GeoLat': 42.773758, 'GeoLong': -78.786837, 'Type': 'Outdoor'}"
CAR,5,5,Carolina,Panthers,NFC,South,Carolina Panthers,26,14,362.0,315.0,000000,0085CA,BFC0BF,,https://upload.wikimedia.org/wikipedia/en/1/1c/Carolina_Panthers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Carolina_Panthers_wordmark.svg,Panthers ,364,Carolina Panthers,12553,126.0,173.6,"{'StadiumID': 26, 'Name': 'Bank of America Stadium', 'City': 'Charlotte', 'State': 'NC', 'Country': 'USA', 'Capacity': 74867, 'PlayingSurface': 'Artificial', 'GeoLat': 35.225833, 'GeoLong': -80.852778, 'Type': 'Outdoor'}"
CHI,6,38,Chicago,Bears,NFC,North,Chicago Bears,20,5,296.0,214.0,0B162A,E64100,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/1/15/Chicago_Bears_logo_primary.svg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Chicago_Bears_wordmark.svg,Bears ,326,Chicago Bears,12527,150.5,164.8,"{'StadiumID': 20, 'Name': 'Soldier Field', 'City': 'Chicago', 'State': 'IL', 'Country': 'USA', 'Capacity': 61500, 'PlayingSurface': 'Grass', 'GeoLat': 41.86232, 'GeoLong': -87.616699, 'Type': 'Outdoor'}"
CIN,7,7,Cincinnati,Bengals,AFC,North,Cincinnati Bengals,5,10,335.0,277.0,000000,FB4F14,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/8/81/Cincinnati_Bengals_logo.svg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Cincinnati_Bengals_wordmark.svg,Bengals ,327,Cincinnati Bengals,12528,153.9,173.0,"{'StadiumID': 5, 'Name': 'Paycor Stadium', 'City': 'Cincinnati', 'State': 'OH', 'Country': 'USA', 'Capacity': 65515, 'PlayingSurface': 'Artificial', 'GeoLat': 39.095309, 'GeoLong': -84.516003, 'Type': 'Outdoor'}"
CLE,8,8,Cleveland,Browns,AFC,North,Cleveland Browns,6,9,327.0,212.0,311D00,FF3300,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/d/d9/Cleveland_Browns_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Cleveland_Browns_wordmark.svg,Browns ,329,Cleveland Browns,12529,148.0,149.5,"{'StadiumID': 6, 'Name': 'Huntington Bank Field', 'City': 'Cleveland', 'State': 'OH', 'Country': 'USA', 'Capacity': 67431, 'PlayingSurface': 'Grass', 'GeoLat': 41.506111, 'GeoLong': -81.699444, 'Type': 'Outdoor'}"
DAL,9,48,Dallas,Cowboys,NFC,East,Dallas Cowboys,17,10,250.0,157.0,002244,B0B7BC,00338D,ADD9CE,https://upload.wikimedia.org/wikipedia/commons/1/15/Dallas_Cowboys.svg,https://upload.wikimedia.org/wikipedia/commons/b/be/Cowboys_wordmark.svg,Cowboys ,331,Dallas Cowboys,12530,114.6,97.0,"{'StadiumID': 17, 'Name': 'AT&T Stadium', 'City': 'Arlington', 'State': 'TX', 'Country': 'USA', 'Capacity': 80000, 'PlayingSurface': 'Artificial', 'GeoLat': 32.747778, 'GeoLong': -97.092778, 'Type': 'RetractableDome'}"
DEN,10,49,Denver,Broncos,AFC,West,Denver Broncos,13,12,134.0,116.0,FC4C02,0A2343,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/4/44/Denver_Broncos_logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Denver_Broncos_wordmark_%28c._1997%29.png,Broncos ,332,Denver Broncos,12531,121.8,159.0,"{'StadiumID': 13, 'Name': 'Empower Field at Mile High', 'City': 'Denver', 'State': 'CO', 'Country': 'USA', 'Capacity': 76125, 'PlayingSurface': 'Grass', 'GeoLat': 39.743889, 'GeoLong': -105.020097, 'Type': 'Outdoor'}"
