SeasonType,Season,Week,Name,ShortName,StartDate,EndDate,ApiSeason,ApiWeek
4,2002,,Offseason,Offseason,2002-03-16T00:00:00,2002-09-03T23:59:59,2002REG,
1,2002,-1,Week 1,Week 1,2002-09-04T00:00:00,2002-09-10T23:59:59,2002REG,-1
1,2002,2,Week 2,Week 2,2002-09-11T00:00:00,2002-09-17T23:59:59,2002REG,2
1,2002,3,Week 3,Week 3,2002-09-18T00:00:00,2002-09-24T23:59:59,2002REG,3
1,2002,4,Week 4,Week 4,2002-09-25T00:00:00,2002-10-01T23:59:59,2002REG,4
1,2002,5,Week 5,Week 5,2002-10-02T00:00:00,2002-10-08T23:59:59,2002REG,5
1,2002,6,Week 6,Week 6,2002-10-09T00:00:00,2002-10-15T23:59:59,2002REG,6
1,2002,7,Week 7,Week 7,2002-10-16T00:00:00,2002-10-22T23:59:59,2002REG,7
1,2002,8,Week 8,Week 8,2002-10-23T00:00:00,2002-10-29T23:59:59,2002REG,8
1,2002,9,Week 9,Week 9,2002-10-30T00:00:00,2002-11-05T23:59:59,2002REG,9
1,2002,10,Week 10,Week 10,2002-11-06T00:00:00,2002-11-12T23:59:59,2002REG,10
1,2002,11,Week 11,Week 11,2002-11-13T00:00:00,2002-11-19T23:59:59,2002REG,11
1,2002,12,Week 12,Week 12,2002-11-20T00:00:00,2002-11-26T23:59:59,2002REG,12
1,2002,13,Week 13,Week 13,2002-11-27T00:00:00,2002-12-03T23:59:59,2002REG,13
1,2002,14,Week 14,Week 14,2002-12-04T00:00:00,2002-12-10T23:59:59,2002REG,14
1,2002,15,Week 15,Week 15,2002-12-11T00:00:00,2002-12-17T23:59:59,2002REG,15
1,2002,16,Week 16,Week 16,2002-12-18T00:00:00,2002-12-24T23:59:59,2002REG,16
1,2002,17,Week 17,Week 17,2002-12-25T00:00:00,2002-12-30T23:59:59,2002REG,17
3,2002,1,Wild Card,Wild Card,2002-12-31T00:00:00,2003-01-06T23:59:59,2002POST,1
