PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,PositionCategory,PhotoUrl,ByeWeek,AverageDraftPosition,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,FanDuelPlayerID,DraftKingsPlayerID,InjuryStatus,FanDuelName,DraftKingsName,TeamID
549,,,Matt,Prater,K,Inactive,"5'10""",201,1984-08-10T00:00:00,Central Florida,19,K,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/549.png,11,813.0,DET,2006,,,True,6782,218237,,Matt Prater,Matt Prater,
732,,,Matt,Ryan,QB,Inactive,"6'4""",220,1985-05-17T00:00:00,Boston College,16,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/732.png,,,ATL,2008,1,3,False,6616,216263,,Matt Ryan,Matt Ryan,
1410,,,Robbie,Gould,K,Inactive,"6'0""",190,1982-12-06T00:00:00,Penn State,19,K,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1410.png,,,NE,2005,,,True,6910,167377,,Robbie Gould,Robbie Gould,
1694,,,Mason,Crosby,K,Inactive,"6'1""",207,1984-09-03T00:00:00,Colorado,17,K,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1694.png,,,GB,2007,6,193,False,6897,214574,,Mason Crosby,Mason Crosby,
2405,,,Chad,Henne,QB,Inactive,"6'3""",230,1985-07-02T00:00:00,Michigan,15,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2405.png,,,MIA,2008,2,57,False,7844,264851,,Chad Henne,Chad Henne,
3061,,,Marcedes,Lewis,TE,Inactive,"6'6""",267,1984-05-19T00:00:00,UCLA,19,TE,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3061.png,7,943.0,JAX,2006,1,28,False,6672,214197,,Marcedes Lewis,Marcedes Lewis,
3100,,,Andy,Lee,P,Inactive,"6'1""",185,1982-08-11T00:00:00,Pittsburgh,20,P,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3100.png,,,SF,2004,6,188,False,,246395,,,Andy Lee,
3617,,,Duane,Brown,OT,Inactive,"6'4""",329,1985-08-30T00:00:00,Virginia Tech,17,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3617.png,,,HOU,2008,1,26,False,,,,,,
3923,,,Muhsin,Muhammad II,WR,Inactive,"6'2""",215,1973-05-05T00:00:00,Michigan State,,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,,,CAR,,,,True,,,,,,
3943,,,DeSean,Jackson,WR,Inactive,"5'10""",175,1986-12-01T00:00:00,California,15,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3943.png,,,PHI,2008,2,49,False,6739,300173,,DeSean Jackson,DeSean Jackson,
