Name,Team,Position,FantasyPoints,Model
Breece Hall,NYJ,RB,236.90,google/gemini-2.5-flash
Drake London,ATL,WR,280.80,google/gemini-2.5-flash
George Kittle,SF,TE,236.60,google/gemini-2.5-flash
DJ Moore,CHI,WR,236.10,google/gemini-2.5-flash
D'Andre Swift,CHI,RB,212.50,google/gemini-2.5-flash
Najee Harris,PIT,RB,204.60,google/gemini-2.5-flash
Brian Robinson Jr.,WAS,RB,159.80,google/gemini-2.5-flash
Tyler Lockett,SEA,WR,121.00,google/gemini-2.5-flash
Cole Kmet,CHI,TE,118.40,google/gemini-2.5-flash
Patrick Mahomes,KC,QB,283.02,google/gemini-2.5-flash
Jaylen Waddle,MIA,WR,145.60,google/gemini-2.5-flash
Lamar Jackson,BAL,QB,428.38,google/gemini-2.5-flash
