Name,Team,Position,FantasyPoints,Model
Jayden Reed,GB,WR,197.00,openai/gpt-5
Jaylen Warren,PIT,RB,124.10,openai/gpt-5
Tyjae Spears,TEN,RB,113.60,openai/gpt-5
Malik Nabers,NYG,WR,271.60,openai/gpt-5
Justin Jefferson,MIN,WR,317.48,openai/gpt-5
Bijan Robinson,ATL,RB,339.70,openai/gpt-5
Ja'Marr Chase,CIN,WR,403.00,openai/gpt-5
Travis Kelce,KC,TE,195.40,openai/gpt-5
Joe Burrow,CIN,QB,372.82,openai/gpt-5
Derrick Henry,BAL,RB,336.40,openai/gpt-5
Christian McCaffrey,SF,RB,47.80,openai/gpt-5
Travis Etienne Jr.,JAX,RB,130.20,openai/gpt-5
