Name,Team,Position,FantasyPoints,Model
Alvin Kamara,NO,RB,265.30,google/gemini-2.5-pro
David Njoku,CLE,TE,144.50,google/gemini-2.5-pro
George Pickens,PIT,WR,164.40,google/gemini-2.5-pro
James Conner,ARI,RB,249.80,google/gemini-2.5-pro
Austin Ekeler,WAS,RB,132.30,google/gemini-2.5-pro
Gus Edwards,LAC,RB,64.10,google/gemini-2.5-pro
Josh Jacobs,GB,RB,293.10,google/gemini-2.5-pro
Deebo Samuel Sr.,SF,WR,153.60,google/gemini-2.5-pro
Diontae Johnson,HOU,WR,89.10,google/gemini-2.5-pro
Brock Bowers,LV,TE,262.70,google/gemini-2.5-pro
Jahmyr Gibbs,DET,RB,362.90,google/gemini-2.5-pro
Chris Olave,NO,WR,76.70,google/gemini-2.5-pro
