Name,Team,Position,FantasyPoints,Model
Michael Pittman Jr.,IND,WR,165.80,moonshotai/kimi-k2-0905
Amari Cooper,BUF,WR,122.70,moonshotai/kimi-k2-0905
Tank Dell,HOU,WR,140.00,moonshotai/kimi-k2-0905
Christian Kirk,JAX,WR,70.90,moonshotai/kimi-k2-0905
Kyle Pitts,ATL,TE,131.20,moonshotai/kimi-k2-0905
Zamir White,LV,RB,29.30,moonshotai/kimi-k2-0905
Dalton Schultz,HOU,TE,118.20,moonshotai/kimi-k2-0905
Noah Fant,SEA,TE,104.00,moonshotai/kimi-k2-0905
DeVonta Smith,PHI,WR,199.40,moonshotai/kimi-k2-0905
Sam LaPorta,DET,TE,174.60,moonshotai/kimi-k2-0905
Jalen Hurts,PHI,QB,315.12,moonshotai/kimi-k2-0905
Mike Evans,TB,WR,240.40,moonshotai/kimi-k2-0905
