Name,Team,Position,FantasyPoints,Model
Marvin Harrison Jr.,ARI,WR,196.50,qwen/qwen3-max
Kenneth Walker III,SEA,RB,181.20,qwen/qwen3-max
Tee Higgins,CIN,WR,222.10,qwen/qwen3-max
Jaxon Smith-Njigba,SEA,WR,253.00,qwen/qwen3-max
Devin Singletary,NYG,RB,96.60,qwen/qwen3-max
Mike Boone,CAR,RB,5.90,qwen/qwen3-max
Kyren Williams,LAR,RB,272.10,qwen/qwen3-max
Dak Prescott,DAL,QB,116.52,qwen/qwen3-max
Rashee Rice,KC,WR,64.90,qwen/qwen3-max
Justin Herbert,LAC,QB,279.40,qwen/qwen3-max
Trey McBride,ARI,TE,249.80,qwen/qwen3-max
Jonathan Taylor,IND,RB,246.70,qwen/qwen3-max
