Name,Team,Position,FantasyPoints,Model
Josh Allen,BUF,QB,377.04,openai/gpt-5-mini
Dallas Goedert,PHI,TE,103.60,openai/gpt-5-mini
Keenan Allen,CHI,WR,184.40,openai/gpt-5-mini
Trevor Lawrence,JAX,QB,139.20,openai/gpt-5-mini
Chase Brown,CIN,RB,253.00,openai/gpt-5-mini
Cooper Kupp,LAR,WR,175.00,openai/gpt-5-mini
David Montgomery,DET,RB,221.72,openai/gpt-5-mini
Dalton Kincaid,BUF,TE,100.80,openai/gpt-5-mini
Tony Pollard,TEN,RB,198.70,openai/gpt-5-mini
Jordan Addison,MIN,WR,212.50,openai/gpt-5-mini
Amon-Ra St. Brown,DET,WR,316.18,openai/gpt-5-mini
A.J. Brown,PHI,WR,216.90,openai/gpt-5-mini
